date,invest,profitLoss,customer,availabilityShortage,companyValuation,workCapacity
Week 1,14500,1590,83,true,320000,31
Week 2,18100,4450,179,false,342550,27
Week 3,12300,7920,158,false,362770,40
Week 4,28400,9360,137,false,400530,34
Week 5,39200,1090,192,false,440820,29
Week 6,15900,3620,37,false,460340,28
Week 7,10400,7630,30,false,478370,19
Week 8,10200,3250,138,true,491820,15
Week 9,36600,7810,94,true,536230,38
Week 10,33000,4590,173,false,573820,48
Week 11,14300,1700,16,false,589820,30
Week 12,13600,3700,39,false,607120,39
Week 13,11000,-1370,178,true,616750,43
Week 14,33500,2660,157,true,652910,25
Week 15,24500,5420,86,true,682830,15
Week 16,21000,5470,46,true,709300,12
Week 17,33500,9100,12,true,751900,18
Week 18,11000,7650,197,false,770550,31
Week 19,34400,-7850,17,false,797100,47
Week 20,37700,5350,67,false,840150,31
Week 21,35100,8390,111,true,883640,22
Week 22,38300,7540,188,false,929480,11
Week 23,36500,9180,100,true,975160,17
Week 24,13600,4100,121,true,992860,40
Week 25,27800,6220,146,true,1026880,33
Week 26,34100,8910,190,true,1069890,19
Week 27,15000,-5350,186,true,1079540,46
Week 28,31900,-7740,21,true,1103700,45
Week 29,34200,-5760,47,true,1132140,15
Week 30,24200,5010,93,true,1161350,37
Week 31,28300,6110,124,false,1195760,50
Week 32,30500,3600,127,false,1229860,24
Week 33,15100,2430,200,false,1247390,37
Week 34,13000,1370,66,true,1261760,25
Week 35,38000,7160,52,true,1306920,13
Week 36,28300,4860,144,true,1340080,49
Week 37,22300,7090,46,false,1369470,9
Week 38,12300,8970,45,true,1390740,20
Week 39,29600,-3500,79,false,1416840,24
Week 40,11400,5410,174,true,1433650,26
Week 41,25100,1210,66,false,1459960,12
Week 42,21100,7220,91,true,1488280,10
Week 43,27900,6630,185,true,1522810,23
Week 44,23400,7620,15,true,1553830,46
Week 45,27800,-5200,187,true,1576430,34
Week 46,38300,4680,108,false,1619410,34
Week 47,33200,5920,86,false,1658530,38
Week 48,13600,5810,112,false,1677940,10
Week 49,26100,8980,93,false,1713020,25
Week 50,33100,7330,185,true,1753450,25
Week 51,11800,7360,122,false,1772610,47
Week 52,21300,8850,167,true,1802760,43
Week 53,39800,6910,133,false,1849470,33
Week 54,14000,2800,30,false,1866270,10
Week 55,37900,4190,195,true,1908360,27
Week 56,30800,7400,192,false,1946560,22
Week 57,29100,8380,156,true,1984040,45
Week 58,27600,2660,76,true,2014300,35
Week 59,37800,8920,36,false,2061020,19
Week 60,16400,3080,153,false,2080500,17
Week 61,19500,-7160,49,true,2092840,24
Week 62,39800,8420,67,false,2141060,43
Week 63,27900,7030,42,false,2175990,15
Week 64,32600,9530,107,false,2218120,32
Week 65,29100,5640,32,true,2252860,30
Week 66,12000,5720,34,true,2270580,29
Week 67,23200,1510,56,true,2295290,30
Week 68,29200,8120,14,false,2332610,50
Week 69,13800,-1290,29,false,2345120,41
Week 70,38900,-2190,75,false,2381830,35
Week 71,30300,1450,114,true,2413580,22
Week 72,34600,9230,41,false,2457410,38
Week 73,35500,2780,146,false,2495690,32
Week 74,21200,9170,18,false,2526060,30
Week 75,25700,3840,48,false,2555600,14
Week 76,19400,7780,29,false,2582780,14
Week 77,12400,3770,195,true,2598950,20
Week 78,39100,7670,18,true,2645720,40
Week 79,33300,1320,115,true,2680340,15
Week 80,36500,3570,188,false,2720410,9
Week 81,13800,3960,124,false,2738170,15
Week 82,30100,3370,25,false,2771640,17
Week 83,30600,7900,170,false,2810140,49
Week 84,27400,1140,22,false,2838680,11
Week 85,30800,8670,120,false,2878150,20
Week 86,27300,-7660,61,false,2826790,23
